중앙,중앙치매센터,서울특별시 중구 을지로 245 (을지로 6가 18-79) 국립중앙의료원 중앙치매센터 ,1666-0921
안심센터,완도군 치매안심센터,"전남 완도군 완도읍 농공단지길 34 (죽청리, 완도보건의료원) 완도군 치매안심센터",061-550-5810
안심센터,진도군 치매안심센터,전라남도 진도군 진도읍 남동1길 40-9 3층,061-540-6964
안심센터,신안군 치매안심센터,"전남 신안군 압해읍 천사로 1004 (신장리, 신안군청) 신안군보건소 1층 치매안심센터",061-240-8081
안심센터,포항시 남구 치매안심센터,경상북도 포항시 남구 오천읍 남원로 43(원리 896) 포항시 남구 치매안심센터,054-270-8901
안심센터,포항시 북구 치매안심센터,"경북 포항시 북구 삼흥로 96 (장성동, 포항시북구보건소) 치매안심센터",054-270-8951
안심센터,경주시 치매안심센터,경상북도 경주시 봉황로 178 (성건동) 치매안심센터,054-760-2950~2
안심센터,김천시 치매안심센터,"경북 김천시 체육공원길 21 (지좌동, 치매안심센터) 치매안심센터",054-421-2894
안심센터,안동시 치매안심센터,경북 안동시 보현로 12 (용상동) 안동시치매안심센터,054-840-5779
안심센터,구미시 구미치매안심센터,"경북 구미시 지산11길 8-1 (지산동, 구미치매안심센터) 구미치매안심센터",054-480-4884
안심센터,구미시 선산치매안심센터,"경북 구미시 선산읍 선주로 121 (동부리, 선산보건소) 치매안심센터",054-480-4352
안심센터,영주시 치매안심센터,"경북 영주시 영주로159번길 73 (영주동, 치매안심센터) 치매안심센터",054-639-5733
안심센터,영천시 치매안심센터,경상북도 영천시 문내동 옛군청1길 31 영천시 치매안심센터,054-339-7845
안심센터,상주시 치매안심센터,"경북 상주시 중앙로 111 (무양동, 상주시 의회청사) 상주시치매안심센터",054-537-6514
안심센터,문경시 치매안심센터,경북 문경시 점촌1길 13 (점촌동) 통합건강증진센터 1층,054-550-8188
안심센터,경산시 치매안심센터,경상북도 경산시 중방동 남매로 158 치매안심센터,053-810-6435
안심센터,군위군 치매안심센터,"경북 군위군 군위읍 군청로 70 (동부리, 군위군보건소) 2층 치매안심센터",054-380-7491
안심센터,의성군 치매안심센터,"경북 의성군 의성읍 구봉길 228 (도서리, 의성군보건소)",054-830-6699
안심센터,청송군 치매안심센터,"경북 청송군 청송읍 의료원길 19 (금곡리, 청송보건의료원) 청송군치매안심센터",054-870-7330
안심센터,영양군 치매안심센터,경상북도 영양군 영양읍 동서대로 82 3층 치매안심센터,054-680-5126
안심센터,영덕군 치매안심센터,"경북 영덕군 영덕읍 군청길 53 (덕곡리, 보건소) 영덕군치매안심센터",054-730-6813
안심센터,청도군 치매안심센터,경상북도 청도군 화양읍 산성강변길 472 청도군치매안심센터,054-370-2672~3
안심센터,고령군 치매안심센터,"경북 고령군 대가야읍 왕릉로 56-5 (지산리, 고령군보건소) 1층",054-950-7961
안심센터,성주군 치매안심센터,"경북 성주군 성주읍 성밖숲길 12 (경산리, 성주군보건소) 성주군치매안심센터",054-930-8191
안심센터,칠곡군 치매안심센터,경상북도 칠곡군 왜관읍 관문로1길 30 칠곡군치매안심센터,054-979-8271
안심센터,예천군 치매안심센터,경상북도 예천군 예천읍 군청길 33(노상리) 예천군치매안심센터,054-650-8100
안심센터,봉화군 치매안심센터,"경북 봉화군 봉화읍 봉화로 1203 (내성리, 봉화군보건소) 봉화군보건소 3층 치매안심센터",054-679-6791
안심센터,울진군 치매안심센터,"경북 울진군 울진읍 읍내8길 61-8 (읍내리, 울진군보건소)",054-789-5025
안심센터,울릉군 치매안심센터,"경북 울릉군 울릉읍 울릉순환로 396-18 (도동리, 보건의료원) 3층 치매안심센터",054-790-6827
안심센터,창원시 창원 치매안심센터,"경남 창원시 성산구 마디미로73번길 10 (상남동, 창원보건소 치매안심센터) 상남동 37-3",055-225-5748
안심센터,창원시 마산 치매안심센터,"경남 창원시 마산합포구 월영동북로 15 (해운동, 마산보건소) 치매안심센터",055-225-5996
안심센터,창원시 진해 치매안심센터,"경남 창원시 진해구 중원동로 62 (중앙동, 서부보건지소) 4층 치매안심센터",055-225-6692
안심센터,진주시 치매안심센터,"경남 진주시 문산읍 월아산로 983 (삼곡리, 진주시 여성회관)",055-749-5778
안심센터,통영시 치매안심센터,"경남 통영시 안개4길 102 (무전동, 통영시치매안심센터) 통영시 치매안심센터",055-650-6100
안심센터,사천시 치매안심센터,경남 사천시 중앙로 212 (벌리동) 사천시치매안심센터,055-831-5860
안심센터,김해시 치매안심센터,"경남 김해시 분성로727번길 8-35 (지내동, 김해시동부지역치매안심센터) 김해 치매안심센터",055-320-5961
안심센터,밀양시 치매안심센터,"경남 밀양시 삼문중앙로 41 (삼문동, 밀양시보건소) 밀양시보건소 별관 3층 치매안심센터",055-359-7086
안심센터,거제시 치매안심센터,경남 거제시 거제중앙로13길 25 (고현동) 거제시치매안심센터,055-639-6226
안심센터,양산시 치매안심센터,"경상남도 양산시 중앙로 7-32 (다방동 보건복지센터) 3, 7층",055-392-5175
안심센터,의령군 치매안심센터,"경남 의령군 의령읍 의병로8길 16-1 (서동리, 항노화센터 및 치매안심센터) 16-1 (서동리, 항노화센터 및 치매안심센터)",055-570-4070
안심센터,함안군 치매안심센터,"경남 함안군 군북면 함마대로 768-3 (중암리, 군북면보건지소)",055-580-3244
안심센터,창녕군 치매안심센터,경상남도 창녕군 창녕읍 우포2로 1189-35 창녕군 치매안심센터,055-530-7503
안심센터,고성군 치매안심센터,경남 고성군 고성읍 중앙로 35 (성내리) 2층 고성군 치매안심센터,055-670-4851
안심센터,남해군 치매안심센터,"경남 남해군 남해읍 선소로 6 (북변리, 남해군보건소) 남해군 치매안심센터",055-860-8791
안심센터,하동군 치매안심센터,"경남 하동군 횡천면 경서대로 1189 (횡천리, 횡천중학교) 하동군치매안심센터",055-880-6850
안심센터,산청군 치매안심센터,"경남 산청군 산청읍 중앙로 97 (지리, 산청군보건의료원) 1층",055-970-7636~7647
안심센터,함양군 치매안심센터,"경남 함양군 함양읍 한들로 141 (용평리, 함양군보건소) 함양군치매안심센터",055-960-8070
안심센터,거창군 치매안심센터,"경남 거창군 거창읍 거함대로 3079 (송정리, 보건소) 거창군치매안심센터",055-940-7910
안심센터,합천군 치매안심센터,"경남 합천군 합천읍 동서로 39 (합천리, 종합사회복지관) 2층 합천군치매안심센터",055-930-3730
안심센터,제주시 동부 치매안심센터,"제주특별자치도 제주시 구좌읍 김녕로14길 6 (김녕리, 동부보건소) 치매안심센터",064-728-7551
안심센터,제주시 서부 치매안심센터,"제주특별자치도 제주시 한림읍 강구로 5 (한림리, 서부보건소) 치매안심센터",064-728-8661
안심센터,제주시 제주 치매안심센터,제주특별자치도 제주시 도남동 연삼로 264 제주보건소 별관 2층 치매안심센터,064-728-8490
안심센터,서귀포시 동부 치매안심센터,"제주특별자치도 서귀포시 남원읍 태위로 527 (남원리, 동부보건소) 2층 치매안심센터",064-760-6125
안심센터,서귀포시 서귀포 치매안심센터,"제주특별자치도 서귀포시 중앙로101번길 52 (서홍동, 서귀포보건소) 중앙로 101번길 52",064-760-6555
안심센터,서귀포시 서부 치매안심센터,"제주특별자치도 서귀포시 대정읍 최남단해안로15번길 12 (하모리, 서부보건소) 치매안심센터",064-760-6249
"안심센터,보건소",전주시 치매안심센터,"전북 전주시 완산구 전라감영로 33 (중앙동4가, 전주시보건소) 전주시치매안심센터",063-281-6292
